tipo_padrao,data_inicio,data_fim,data_ombro1,data_ombro2,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCOI,2025-05-18 16:00:00,2025-05-21 06:00:00,2025-05-18 20:00:00,2025-05-20 14:00:00,102645.18,2025-05-19 06:00:00,16602,16664
OCOI,2025-03-27 03:00:00,2025-04-01 21:00:00,2025-03-29 17:00:00,2025-03-31 23:00:00,81661.31,2025-03-31 04:00:00,15341,15479
OCO,2025-03-04 14:00:00,2025-03-07 01:00:00,2025-03-05 12:00:00,2025-03-06 23:00:00,92544.41,2025-03-06 05:00:00,14800,14859
OCO,2025-01-09 20:00:00,2025-01-13 12:00:00,2025-01-10 11:00:00,2025-01-12 17:00:00,95342.02,2025-01-10 18:00:00,13510,13598
OCOI,2025-01-08 23:00:00,2025-01-10 18:00:00,2025-01-09 14:00:00,2025-01-10 16:00:00,92092.33,2025-01-09 20:00:00,13489,13532
OCOI,2024-12-21 08:00:00,2024-12-26 00:00:00,2024-12-23 01:00:00,2024-12-24 20:00:00,92791.62,2024-12-23 19:00:00,13043,13155
OCOI,2024-12-02 02:00:00,2024-12-05 04:00:00,2024-12-02 11:00:00,2024-12-04 17:00:00,94299.11,2024-12-03 13:00:00,12581,12655
OCO,2024-11-07 05:00:00,2024-11-13 06:00:00,2024-11-10 18:00:00,2024-11-12 20:00:00,89372.35,2024-11-12 07:00:00,11984,12129
OCOI,2024-04-15 10:00:00,2024-04-19 13:00:00,2024-04-16 15:00:00,2024-04-19 02:00:00,60319.82,2024-04-17 16:00:00,7045,7144
OCOI,2024-03-20 23:00:00,2024-03-25 20:00:00,2024-03-21 19:00:00,2024-03-24 04:00:00,62789.24,2024-03-22 14:00:00,6434,6551
OCO,2024-03-15 09:00:00,2024-03-17 07:00:00,2024-03-15 19:00:00,2024-03-17 04:00:00,69625.42,2024-03-16 00:00:00,6300,6346
